HS Code,HS Code Description,HS Description
3903.1990,- - - Other,- - - Other
3903.2000,- Styrene- acrylonitrile (SAN) copolymers,- Styrene- acrylonitrile (SAN) copolymers
3903.3000,"- Acrylonitrile- butadiene- styrene (ABS)
copolymers","- Acrylonitrile- butadiene- styrene (ABS)
copolymers"
3903.9000,- Other,- Other
39.04,"Polymers of vinyl chloride or of other
halogenated olefins, in primary forms.","Polymers of vinyl chloride or of other
halogenated olefins, in primary forms."
3904.1010,- - - Emulsion grade,- - - Emulsion grade
3904.1090,- - - Other,- - - Other
3904.2100,- - Non-plasticised,- - Non-plasticised
3904.2200,- - Plasticised,- - Plasticised
3904.3000,- Vinyl chloride- vinyl acetate copolymers,- Vinyl chloride- vinyl acetate copolymers
3904.4000,- Other vinyl chloride copolymers,- Other vinyl chloride copolymers
3904.5000,- Vinylidene chloride polymers,- Vinylidene chloride polymers
3904.6100,- - Polytetrafluoroethylene,- - Polytetrafluoroethylene
3904.6900,- - Other,- - Other
3904.9000,- Other,- Other
39.05,"Polymers of vinyl acetate or of other vinyl
esters, in primary forms; other vinyl polymers
in primary forms.","Polymers of vinyl acetate or of other vinyl
esters, in primary forms; other vinyl polymers
in primary forms."
3905.1200,- - In aqueous dispersion,- - In aqueous dispersion
3905.1900,- - Other,- - Other
3905.2100,- - In aqueous dispersion,- - In aqueous dispersion
3905.2900,- - Other,- - Other
3905.3000,"- Poly(vinyl alcohol), whether or not containing
unhydrolysed acetate groups","- Poly(vinyl alcohol), whether or not containing
unhydrolysed acetate groups"
3905.9100,- - Copolymers,- - Copolymers
3905.9910,- - - Ethers polyvinyl,- - - Ethers polyvinyl
3905.9990,- - - Other,- - - Other
39.06,Acrylic polymers in primary forms.,Acrylic polymers in primary forms.
3906.1000,- Poly(methyl methacrylate),- Poly(methyl methacrylate)
3906.9010,- - - Cyanoacrylate,- - - Cyanoacrylate
3906.9020,- - - Acrylic binders,- - - Acrylic binders
3906.9030,- - - Pigment thickener,- - - Pigment thickener
3906.9040,- - - Dispersing agent and acrylic thickeners,- - - Dispersing agent and acrylic thickeners
3906.9090,- - - Other,- - - Other
39.07,"Polyacetals, other polyethers and epoxide
resins, in primary forms; polycarbonates,
alkyd resins, polyallyl esters and other
polyesters, in primary forms.","Polyacetals, other polyethers and epoxide
resins, in primary forms; polycarbonates,
alkyd resins, polyallyl esters and other
polyesters, in primary forms."
3907.1000,- Polyacetals,- Polyacetals
3907.2000,- Other polyethers,- Other polyethers
3907.3000,- Epoxide resins,- Epoxide resins
3907.4000,- Polycarbonates,- Polycarbonates
3907.5000,- Alkyd resins,- Alkyd resins
3907.6110,- - - Yarn and film grades,- - - Yarn and film grades
3907.6120,- - - Bottle grade,- - - Bottle grade
3907.6190,- - - Other,- - - Other
3907.6910,- - - Yarn and film grades,- - - Yarn and film grades
3907.6920,- - - Bottle grade,- - - Bottle grade
3907.6990,- - - Other,- - - Other
3907.7000,- Poly(lactic acid),- Poly(lactic acid)
3907.9100,- - Unsaturated,- - Unsaturated
3907.9900,- - Other,- - Other
39.08,Polyamides in primary forms.,Polyamides in primary forms.
3908.1000,"- Polyamide- 6, - 11, - 12, - 6, 6, - 6, 9, - 6, 10 or -
6, 12","- Polyamide- 6, - 11, - 12, - 6, 6, - 6, 9, - 6, 10 or -
6, 12"
3908.9000,- Other,- Other
39.09,"Amino- resins, phenolic resins and
polyurethanes, in primary forms.","Amino- resins, phenolic resins and
polyurethanes, in primary forms."
3909.1010,- - - Urea formaldehyde moulding compound,- - - Urea formaldehyde moulding compound
3909.1090,- - - Other,- - - Other
3909.2000,- Melamine resins,- Melamine resins
3909.3100,"- - Poly(methylene phenyl isocyanate) (crude
MDI, polymeric MDI)","- - Poly(methylene phenyl isocyanate) (crude
MDI, polymeric MDI)"
3909.3900,- - Other,- - Other
3909.4000,- Phenolic resins,- Phenolic resins
3909.5000,- Polyurethanes,- Polyurethanes
3910.0000,Silicones in primary forms.,Silicones in primary forms.
39.11,"Petroleum resins, coumarone- indene resins,
polyterpenes, polysulphides, polysulphones
and other products specified in Note 3 to this
Chapter, not elsewhere specified or included,
in primary forms.","Petroleum resins, coumarone- indene resins,
polyterpenes, polysulphides, polysulphones
and other products specified in Note 3 to this
Chapter, not elsewhere specified or included,
in primary forms."
3911.1010,- - - Petroleum resins,- - - Petroleum resins
3911.1090,- - - Other,- - - Other
3911.9000,- Other,- Other
39.12,"Cellulose and its chemical derivatives, not
elsewhere specified or included, in primary
forms.","Cellulose and its chemical derivatives, not
elsewhere specified or included, in primary
forms."
3912.1100,- - Non-plasticised,- - Non-plasticised
3912.1200,- - Plasticised,- - Plasticised
3912.2010,- - - Cellulose nitrates nonplasticised,- - - Cellulose nitrates nonplasticised
3912.2020,- - - Nitrocellulose binder,- - - Nitrocellulose binder
3912.2090,- - - Other,- - - Other
3912.3100,- - Carboxymethylcellulose and its salts,- - Carboxymethylcellulose and its salts
3912.3900,- - Other,- - Other
3912.9000,- Other,- Other
39.13,"Natural polymers (for example, alginic acid)
and modified natural polymers (for example,
hardened proteins, chemical derivatives of
natural rubber), not elsewhere specified or
included, in primary forms.","Natural polymers (for example, alginic acid)
and modified natural polymers (for example,
hardened proteins, chemical derivatives of
natural rubber), not elsewhere specified or
included, in primary forms."
3913.1000,"- Alginic acids, its salts and esters","- Alginic acids, its salts and esters"
3913.9010,- - - Protein hardened,- - - Protein hardened
3913.9090,- - - Other,- - - Other
39.14,"Ion- exchangers based on polymers of
headings 39.01 to 39.13, in primary forms.","Ion- exchangers based on polymers of
headings 39.01 to 39.13, in primary forms."
3914.0010,- - - Ion-exchangers of condensation type,- - - Ion-exchangers of condensation type
3914.0020,- - - Ion-exchangers of the polymerization type,- - - Ion-exchangers of the polymerization type
39.15,"Waste, parings and scrap, of plastics.","Waste, parings and scrap, of plastics."
3915.1000,- Of polymers of ethylene,- Of polymers of ethylene
3915.2000,- Of polymers of styrene,- Of polymers of styrene
3915.3000,- Of polymers of vinyl chloride,- Of polymers of vinyl chloride
3915.9000,- Of other plastics,- Of other plastics
39.16,"Monofilament of which any cross- sectional
dimension exceeds 1 mm, rods, sticks and
profile shapes, whether or not surface-
worked but not otherwise worked, of plastics.","Monofilament of which any cross- sectional
dimension exceeds 1 mm, rods, sticks and
profile shapes, whether or not surface-
worked but not otherwise worked, of plastics."
3916.1000,- Of polymers of ethylene,- Of polymers of ethylene
3916.2000,- Of polymers of vinyl chloride,- Of polymers of vinyl chloride
3916.9000,- Of other plastics:,- Of other plastics:
39.17,"Tubes, pipes and hoses, and fittings therefor
(for example, joints, elbows, flanges), of
plastics.","Tubes, pipes and hoses, and fittings therefor
(for example, joints, elbows, flanges), of
plastics."
3917.1000,"- Artificial guts (sausage casings) of hardened
protein or of cellulosic materials","- Artificial guts (sausage casings) of hardened
protein or of cellulosic materials"
3917.2100,- - Of polymers of ethylene,- - Of polymers of ethylene
3917.2200,- - Of polymers of propylene,- - Of polymers of propylene
3917.2310,"- - - Heat shrinkable sleeves and tubes of a dia
not exceeding 100 mm","- - - Heat shrinkable sleeves and tubes of a dia
not exceeding 100 mm"
3917.2390,- - - Other,- - - Other
3917.2900,- - Of other plastics,- - Of other plastics
3917.3100,"- - Flexible tubes, pipes and hoses, having a
minimum burst pressure of 27.6 MPa","- - Flexible tubes, pipes and hoses, having a
minimum burst pressure of 27.6 MPa"
3917.3200,"- - Other, not reinforced or otherwise combined
with other materials, without fittings:","- - Other, not reinforced or otherwise combined
with other materials, without fittings:"
3917.3300,"- - Other, not reinforced or otherwise combined
with other materials, with fittings","- - Other, not reinforced or otherwise combined
with other materials, with fittings"
3917.3910,- - - Heat shrinkable sleeves and tubes,- - - Heat shrinkable sleeves and tubes
3917.3990,- - - Other,- - - Other
3917.4000,- Fittings,- Fittings
39.18,"Floor coverings of plastics, whether or not
self- adhesive, in rolls or in the form of tiles;
wall or ceiling coverings of plastics, as
defined in Note 9 to this Chapter.","Floor coverings of plastics, whether or not
self- adhesive, in rolls or in the form of tiles;
wall or ceiling coverings of plastics, as
defined in Note 9 to this Chapter."
3918.1000,- Of polymers of vinyl chloride,- Of polymers of vinyl chloride
3918.9000,- Of other plastics,- Of other plastics
39.19,"Self- adhesive plates, sheets, film, foil, tape,
strip and other flat shapes, of plastics,
whether or not in rolls.","Self- adhesive plates, sheets, film, foil, tape,
strip and other flat shapes, of plastics,
whether or not in rolls."
3919.1010,- - - Insulation tape double sided,- - - Insulation tape double sided
3919.1020,- - - PVC electric insulation tapes,- - - PVC electric insulation tapes
3919.1030,- - - Stationery tape,- - - Stationery tape
3919.1090,- - - Other,- - - Other
3919.9010,- - - Oriented Polypropylene (OPP) packing tapes,- - - Oriented Polypropylene (OPP) packing tapes
3919.9090,- - - Other,- - - Other
39.20,"Other plates, sheets, film, foil and strip, of
plastics, non- cellular and not reinforced,
laminated, supported or similarly combined
with other materials.","Other plates, sheets, film, foil and strip, of
plastics, non- cellular and not reinforced,
laminated, supported or similarly combined
with other materials."
3920.1000,- Of polymers of ethylene,- Of polymers of ethylene
3920.2010,"- - - Biaxially Oriented Polypropylene (BOPP)
film, plain","- - - Biaxially Oriented Polypropylene (BOPP)
film, plain"
3920.2020,"- - - Biaxially Oriented Polypropylene (BOPP)
film, printed","- - - Biaxially Oriented Polypropylene (BOPP)
film, printed"
3920.2030,"- - - Biaxially Oriented Polypropylene (BOPP)
film, metallized","- - - Biaxially Oriented Polypropylene (BOPP)
film, metallized"
3920.2040,"- - - Biaxially Oriented Polypropylene (BOPP)
film, laminated","- - - Biaxially Oriented Polypropylene (BOPP)
film, laminated"
3920.2090,- - - Other,- - - Other
3920.3000,- Of polymers of styrene,- Of polymers of styrene
3920.4300,"- - Containing by weight not less than 6 % of
plasticisers","- - Containing by weight not less than 6 % of
plasticisers"
3920.4910,- - - Polyvinyl Chloride (PVC) Rigid film,- - - Polyvinyl Chloride (PVC) Rigid film
3920.4990,- - - Other,- - - Other
3920.5100,- - Of poly(methyl methacrylate),- - Of poly(methyl methacrylate)
3920.5900,- - Other,- - Other
3920.6100,- - Of polycarbonates,- - Of polycarbonates
3920.6200,- - Of poly(ethylene terephthalate),- - Of poly(ethylene terephthalate)
3920.6310,- - - Polyester rigid film,- - - Polyester rigid film
3920.6390,- - - Other,- - - Other
3920.6900,- - Of other polyesters,- - Of other polyesters
3920.7100,- - Of regenerated cellulose,- - Of regenerated cellulose
3920.7300,- - Of cellulose acetate,- - Of cellulose acetate
3920.7900,- - Of other cellulose derivatives,- - Of other cellulose derivatives
3920.9100,- - Of poly(vinyl butyral),- - Of poly(vinyl butyral)
3920.9200,- - Of polyamides,- - Of polyamides
3920.9300,- - Of amino resins,- - Of amino resins
3920.9400,- - Of phenolic resins,- - Of phenolic resins
3920.9900,- - Of other plastics,- - Of other plastics
39.21,"Other plates, sheets, film, foil and strip, of
plastics.","Other plates, sheets, film, foil and strip, of
plastics."
3921.1100,- - Of polymers of styrene,- - Of polymers of styrene
3921.1200,- - Of polymers of vinyl chloride,- - Of polymers of vinyl chloride
3921.1300,- - Of polyurethanes,- - Of polyurethanes
3921.1400,- - Of regenerated cellulose,- - Of regenerated cellulose
3921.1900,- - Of other plastics,- - Of other plastics
3921.9010,"- - - Of polyethylene, foamed and bridged, having
a specific gravity of 0.032 to 0.042 g/cm3","- - - Of polyethylene, foamed and bridged, having
a specific gravity of 0.032 to 0.042 g/cm3"
3921.9090,- - - Other,- - - Other
39.22,"Baths, shower- baths, sinks, wash- basins,
bidets, lavatory pans, seats and covers,
flushing cisterns and similar sanitary ware, of
plastics.","Baths, shower- baths, sinks, wash- basins,
bidets, lavatory pans, seats and covers,
flushing cisterns and similar sanitary ware, of
plastics."
3922.1000,"- Baths, shower- baths, sinks and wash- basins","- Baths, shower- baths, sinks and wash- basins"
3922.2000,- Lavatory seats and covers,- Lavatory seats and covers
3922.9000,- Other,- Other
39.23,"Articles for the conveyance or packing of
goods, of plastics; stoppers, lids, caps and
other closures, of plastics.","Articles for the conveyance or packing of
goods, of plastics; stoppers, lids, caps and
other closures, of plastics."
3923.1000,"- Boxes, cases, crates and similar articles","- Boxes, cases, crates and similar articles"
3923.2100,- - Of polymers of ethylene,- - Of polymers of ethylene
3923.2900,- - Of other plastics,- - Of other plastics
3923.3010,- - - Bottles,- - - Bottles
3923.3090,- - - Other,- - - Other
3923.4000,"- Spools, cops, bobbins and similar supports","- Spools, cops, bobbins and similar supports"
3923.5000,"- Stoppers, lids, caps and other closures","- Stoppers, lids, caps and other closures"
3923.9010,"- - - Preforms made from polyethylene
terephthalate","- - - Preforms made from polyethylene
terephthalate"
3923.9090,- - - Other,- - - Other
39.24,"Tableware, kitchenware, other household
articles and hygienic or toilet articles, of
plastics.","Tableware, kitchenware, other household
articles and hygienic or toilet articles, of
plastics."
3924.1000,- Tableware and kitchenware,- Tableware and kitchenware
3924.9000,- Other,- Other
39.25,"Builders' ware of plastics, not elsewhere
specified or included.","Builders' ware of plastics, not elsewhere
specified or included."
3925.1000,"- Reservoirs, tanks, vats and similar containers,
of a capacity exceeding 300l","- Reservoirs, tanks, vats and similar containers,
of a capacity exceeding 300l"
3925.2000,"- Doors, windows and their frames and
thresholds for doors","- Doors, windows and their frames and
thresholds for doors"
3925.3000,"- Shutters, blinds (including Venetian blinds) and
similar articles and parts thereof","- Shutters, blinds (including Venetian blinds) and
similar articles and parts thereof"
3925.9000,- Other,- Other
39.26,"Other articles of plastics and articles of other
materials of headings 39.01 to 39.14.","Other articles of plastics and articles of other
materials of headings 39.01 to 39.14."
3926.1000,- Office or school supplies,- Office or school supplies
3926.2010,- - - Plastic belts,- - - Plastic belts
3926.2090,- - - Other,- - - Other
3926.3000,"- Fittings for furniture, coachwork of the like","- Fittings for furniture, coachwork of the like"
3926.4010,- - - Ornamental articles of plastics,- - - Ornamental articles of plastics
3926.4020,- - - Plastic bangles,- - - Plastic bangles
3926.4030,- - - Spangles of plastics,- - - Spangles of plastics
3926.4040,- - - Plastic beads,- - - Plastic beads
3926.4090,- - - Other,- - - Other
3926.9010,- - - Synthetic floats for fishing nets,- - - Synthetic floats for fishing nets
3926.9020,"- - - Coils of plastics (contraceptives and
accessories therefor)","- - - Coils of plastics (contraceptives and
accessories therefor)"
3926.9030,"- - - Transmission, conveyor or elevator belts","- - - Transmission, conveyor or elevator belts"
3926.9040,- - - Laboratory ware,- - - Laboratory ware
3926.9050,- - - Urine bags,- - - Urine bags
3926.9060,- - - Shoe lasts,- - - Shoe lasts
3926.9070,"- - - Design patterns, cards for textile and leather
garments","- - - Design patterns, cards for textile and leather
garments"
3926.9091,- - - -Plastic tags and staples for garments,- - - -Plastic tags and staples for garments
3926.9099,- - - -Other,- - - -Other
"Notes.
1.- Except where the context otherwise requires, throughout the Nomenclature
the expression ""rubber"" means the following products, whether or not
vulcanised or hard : natural rubber, balata, gutta-percha, guayule, chicle and
similar natural gums, synthetic rubber, factice derived from oils, and such
substances reclaimed.",,
40.01,"Natural rubber, balata, gutta- percha, guayule,
chicle and similar natural gums, in primary
forms or in plates, sheets or strip.","Natural rubber, balata, gutta- percha, guayule,
chicle and similar natural gums, in primary
forms or in plates, sheets or strip."
4001.1000,"- Natural rubber latex, whether or not pre-
vulcanised","- Natural rubber latex, whether or not pre-
vulcanised"
4001.2100,- - Smoked sheets,- - Smoked sheets
4001.2200,- - Technically specified natural rubber (TSNR),- - Technically specified natural rubber (TSNR)
4001.2900,- - Other,- - Other
4001.3000,"- Balata, gutta- percha, guayule, chicle and
similar natural gums","- Balata, gutta- percha, guayule, chicle and
similar natural gums"
40.02,"Synthetic rubber and factice derived from
oils, in primary forms or in plates, sheets or
strip; mixtures of any product of heading
40.01 with any product of this heading, in
primary forms or in plates, sheets or strip.","Synthetic rubber and factice derived from
oils, in primary forms or in plates, sheets or
strip; mixtures of any product of heading
40.01 with any product of this heading, in
primary forms or in plates, sheets or strip."
4002.1100,- - Latex,- - Latex
4002.1900,- - Other,- - Other
4002.2000,- Butadiene rubber (BR),- Butadiene rubber (BR)
4002.3100,- - Isobutene-isoprene (butyl) rubber (IIR),- - Isobutene-isoprene (butyl) rubber (IIR)
4002.3900,- - Other,- - Other
4002.4100,- - Latex,- - Latex
4002.4900,- - Other,- - Other
4002.5100,- - Latex,- - Latex
4002.5900,- - Other,- - Other
4002.6000,- Isoprene rubber (IR),- Isoprene rubber (IR)
4002.7000,"- Ethylenepropylene non- conjugated diene
rubber (EPDM)","- Ethylenepropylene non- conjugated diene
rubber (EPDM)"
4002.8000,"- Mixtures of any product of heading 40.01 with
any product of this heading","- Mixtures of any product of heading 40.01 with
any product of this heading"
4002.9100,- - Latex,- - Latex
4002.9900,- - Other,- - Other
4003.0000,"Reclaimed rubber in primary forms or in
plates, sheets or strip.","Reclaimed rubber in primary forms or in
plates, sheets or strip."
40.04,"Waste, parings and scrap of rubber (other
than hard rubber) and powders and granules
obtained therefrom.","Waste, parings and scrap of rubber (other
than hard rubber) and powders and granules
obtained therefrom."
4004.0010,- - - Bagomatic bladder scrap,- - - Bagomatic bladder scrap
4004.0020,- - - Shredded tyre scrap (cut into pieces),- - - Shredded tyre scrap (cut into pieces)
4004.0090,- - - Other,- - - Other
40.05,"Compounded rubber, unvulcanised, in
primary forms or in plates, sheets or strip.","Compounded rubber, unvulcanised, in
primary forms or in plates, sheets or strip."
4005.1010,- - - Plates,- - - Plates
4005.1020,- - - Sheets,- - - Sheets
4005.1090,- - - Other,- - - Other
4005.2000,"- Solutions; dispersions other than those of
subheading 4005.10","- Solutions; dispersions other than those of
subheading 4005.10"
4005.9100,"- - Plates, sheets and strip","- - Plates, sheets and strip"
4005.9900,- - Other,- - Other
40.06,"Other forms (for example, rods, tubes and
profile shapes) and articles (for example,
discs and rings), of unvulcanised rubber.","Other forms (for example, rods, tubes and
profile shapes) and articles (for example,
discs and rings), of unvulcanised rubber."
4006.1000,"- ""Camel- back"" strips for retreading rubber tyres","- ""Camel- back"" strips for retreading rubber tyres"
4006.9000,- Other,- Other
40.07,Vulcanised rubber thread and cord.,Vulcanised rubber thread and cord.
4007.0010,- - - Single cord,- - - Single cord
4007.0090,- - - Other,- - - Other
40.08,"Plates, sheets, strip, rods and profile shapes,
of vulcanised rubber other than hard rubber.","Plates, sheets, strip, rods and profile shapes,
of vulcanised rubber other than hard rubber."
4008.1110,"- - - Following components for vehicles of chapter
87:- (1) Weather strips for doors and luggage
compartments for motor cars of heading 87.03
and vehicles of sub - heading 8703.2113,
8703.2195, 8703.2240 and 8704.3130 except
weather strip moulding (inner / outer) for glass
(2) Weather strips for doors and glass for
vehicles of sub - heading 8704.2190
(3) Weather strips for doors for vehicles of sub -
heading 8704.3190","- - - Following components for vehicles of chapter
87:- (1) Weather strips for doors and luggage
compartments for motor cars of heading 87.03
and vehicles of sub - heading 8703.2113,
8703.2195, 8703.2240 and 8704.3130 except
weather strip moulding (inner / outer) for glass
(2) Weather strips for doors and glass for
vehicles of sub - heading 8704.2190
(3) Weather strips for doors for vehicles of sub -
heading 8704.3190"
4008.1190,- - - Other,- - - Other
4008.1910,"- - - Following component for vehicles of chapter
87:- (1) Weather strip
for doors and luggage compartments for motor
cars of heading 87.03 and vehicles of sub -
heading 8703.2113, 8703.2195, 8703.2240 and
8704.3130 except weather strip moulding (inner /
outer) for glass (2)
Weather strips for doors and glass for vehicles of
sub - heading 8704.2190 (3) Weather
strips for doors for vehicles of sub - heading
8704.3190","- - - Following component for vehicles of chapter
87:- (1) Weather strip
for doors and luggage compartments for motor
cars of heading 87.03 and vehicles of sub -
heading 8703.2113, 8703.2195, 8703.2240 and
8704.3130 except weather strip moulding (inner /
outer) for glass (2)
Weather strips for doors and glass for vehicles of
sub - heading 8704.2190 (3) Weather
strips for doors for vehicles of sub - heading
8704.3190"
4008.1990,- - - Other,- - - Other
4008.2110,"- - - Following component for vehicles of chapter
87:- (1) Weather strip for
doors and luggage compartments for motor cars
of heading 87.03 and vehicles of sub - heading
8703.2113, 8703.2195, 8703.2240 and
8704.3130 except weather strip moulding (inner /
outer) for glass
(2) Weather strips for doors and glass for
vehicles of sub - heading 8704.2190 (3)
Weather strips for doors for vehicles of sub -
heading 8704.3190","- - - Following component for vehicles of chapter
87:- (1) Weather strip for
doors and luggage compartments for motor cars
of heading 87.03 and vehicles of sub - heading
8703.2113, 8703.2195, 8703.2240 and
8704.3130 except weather strip moulding (inner /
outer) for glass
(2) Weather strips for doors and glass for
vehicles of sub - heading 8704.2190 (3)
Weather strips for doors for vehicles of sub -
heading 8704.3190"
4008.2190,- - - Other,- - - Other
4008.2910,"- - - Following component for vehicles of chapter
87:- (1) Weather strips for doors
and luggage compartments for motor cars of
heading 87.03 and vehicles of sub - heading
8703.2113, 8703.2195, 8703.2240 and
8704.3130 except weather strip moulding (inner /
outer) for glass
(2) Weather strips for doors and glass for
vehicles of sub - heading 8704.2190 (3)
Weather strips for doors for vehicles of sub -
heading 8704.3190","- - - Following component for vehicles of chapter
87:- (1) Weather strips for doors
and luggage compartments for motor cars of
heading 87.03 and vehicles of sub - heading
8703.2113, 8703.2195, 8703.2240 and
8704.3130 except weather strip moulding (inner /
outer) for glass
(2) Weather strips for doors and glass for
vehicles of sub - heading 8704.2190 (3)
Weather strips for doors for vehicles of sub -
heading 8704.3190"
4008.2990,- - - Other,- - - Other
40.09,"Tubes, pipes and hoses, of vulcanised rubber
other than hard rubber, with or without their
fittings (for example, joints, elbows, flanges).","Tubes, pipes and hoses, of vulcanised rubber
other than hard rubber, with or without their
fittings (for example, joints, elbows, flanges)."
4009.1110,"- - - Following components for vehicles of
chapter 87:- (1) Air cleaner hoses and
water cooling system hoses (except turbo system
hoses) for vehicles of sub - heading 8701.2020,
8701.2090, and 8701.2040 (2) Radiator
/ engine cooling system hoses and air hoses for
vehicles of sub - headings 8701.9220 and
8701.9320 (3) Air cleaner hoses, vacuum tank
hoses and water cooling system hoses (except
turbo system hoses) for vehicles of heading
87.02 (4)Water cooling system hoses (except
turbo system hoses) and air cleaner hoses for
vehicles of sub - heading 8704.2219 (5) Air
cleaner hoses for vehicles of sub - headings
8704.2299 and 8704.2390","- - - Following components for vehicles of
chapter 87:- (1) Air cleaner hoses and
water cooling system hoses (except turbo system
hoses) for vehicles of sub - heading 8701.2020,
8701.2090, and 8701.2040 (2) Radiator
/ engine cooling system hoses and air hoses for
vehicles of sub - headings 8701.9220 and
8701.9320 (3) Air cleaner hoses, vacuum tank
hoses and water cooling system hoses (except
turbo system hoses) for vehicles of heading
87.02 (4)Water cooling system hoses (except
turbo system hoses) and air cleaner hoses for
vehicles of sub - heading 8704.2219 (5) Air
cleaner hoses for vehicles of sub - headings
8704.2299 and 8704.2390"
4009.1120,"- - - Following components for vehicles of
chapter 87:- (1) Water hoses of a kind
used for engine cooling system / heater for motor
cars of heading 87.03 and vehicles of sub -
heading 8703.2323 and 8703.3223 (2) Hose
side demister for motor cars (not exceeding
800cc) (3) Water hoses used for engine cooling /
heater systems, hoses brake reservoir, air
cleaner hose, cool air hoses for vehicles of sub -
heading 8703.2113, 8703.2193, 8703.2195,
8703.2240 and 8704.3130 (4) Water hoses of a
kind used for engine cooling system / heater for
vehicles of sub - heading 8704.2190 (5) Water
hoses for engine cooling system, air cleaner
hoses and brake oil reservoir hose for vehicles of
sub - heading 8704.3190 (6) Engine cooling
system / radiator hoses and fuel tubes, meant for
industrial assembly / manufacture of vehicles of
sub - headings 8703.2115 and 8704.3150 (7)
Air intake hoses, radiator hoses, intercooler
hoses and heater hoses, meant for industrial
assembly / manufacture of vehicles of sub -
heading 8703.3225","- - - Following components for vehicles of
chapter 87:- (1) Water hoses of a kind
used for engine cooling system / heater for motor
cars of heading 87.03 and vehicles of sub -
heading 8703.2323 and 8703.3223 (2) Hose
side demister for motor cars (not exceeding
800cc) (3) Water hoses used for engine cooling /
heater systems, hoses brake reservoir, air
cleaner hose, cool air hoses for vehicles of sub -
heading 8703.2113, 8703.2193, 8703.2195,
8703.2240 and 8704.3130 (4) Water hoses of a
kind used for engine cooling system / heater for
vehicles of sub - heading 8704.2190 (5) Water
hoses for engine cooling system, air cleaner
hoses and brake oil reservoir hose for vehicles of
sub - heading 8704.3190 (6) Engine cooling
system / radiator hoses and fuel tubes, meant for
industrial assembly / manufacture of vehicles of
sub - headings 8703.2115 and 8704.3150 (7)
Air intake hoses, radiator hoses, intercooler
hoses and heater hoses, meant for industrial
assembly / manufacture of vehicles of sub -
heading 8703.3225"
4009.1130,- - - Other for motor cars and vehicles,- - - Other for motor cars and vehicles
4009.1190,- - - Other,- - - Other
4009.1200,- - With fittings,- - With fittings
4009.2110,"- - - Following components for vehicles of
chapter 87:- 1) Air cleaner
hoses and water cooling system hoses (except
turbo system hoses) for vehicles of sub - heading
8701.2020, 8701.2090, and 8701.2040 (2)
Radiator / engine cooling system hoses and air
hoses for vehicles of sub - headings 8701.9220
and 8701.9320 (3) Air cleaner hoses, vacuum
tank hoses and water cooling system hoses
(except turbo system hoses) for vehicles heading
87.02 (4) Water cooling system hoses (except
turbo system hoses) and air cleaner hoses for
vehicles of sub - heading 8704.2219 (5) Air
cleaner hoses for vehicles of sub - headings
8704.2299 and 8704.2390","- - - Following components for vehicles of
chapter 87:- 1) Air cleaner
hoses and water cooling system hoses (except
turbo system hoses) for vehicles of sub - heading
8701.2020, 8701.2090, and 8701.2040 (2)
Radiator / engine cooling system hoses and air
hoses for vehicles of sub - headings 8701.9220
and 8701.9320 (3) Air cleaner hoses, vacuum
tank hoses and water cooling system hoses
(except turbo system hoses) for vehicles heading
87.02 (4) Water cooling system hoses (except
turbo system hoses) and air cleaner hoses for
vehicles of sub - heading 8704.2219 (5) Air
cleaner hoses for vehicles of sub - headings
8704.2299 and 8704.2390"
4009.2120,"- - - Following components for vehicles of
chapter 87:- (1) Water hoses of a kind used for
engine cooling system / heater for motor cars of
heading 87.03 and vehicles of sub- heading
8703.2323 and 8703.3223","- - - Following components for vehicles of
chapter 87:- (1) Water hoses of a kind used for
engine cooling system / heater for motor cars of
heading 87.03 and vehicles of sub- heading
8703.2323 and 8703.3223"
4009.2130,- - - Other motor cars and vehicles,- - - Other motor cars and vehicles
4009.2190,- - - Other,- - - Other
4009.2200,- - With fittings,- - With fittings
4009.3110,"- - - Following components for vehicles of
chapter 87:- (1) Air cleaner hoses
and water cooling system hoses (except turbo
system hoses) for vehicles of sub - heading
8701.2020, 8701.2090, and 8701.2040","- - - Following components for vehicles of
chapter 87:- (1) Air cleaner hoses
and water cooling system hoses (except turbo
system hoses) for vehicles of sub - heading
8701.2020, 8701.2090, and 8701.2040"
4009.3120,"- - - Following components for vehicles of
chapter 87:-
(1) Water hoses of a kind used for engine cooling
system /heater for motor cars of heading 87.03
and vehicles of sub- heading 8703.2323 and
8703.3223","- - - Following components for vehicles of
chapter 87:-
(1) Water hoses of a kind used for engine cooling
system /heater for motor cars of heading 87.03
and vehicles of sub- heading 8703.2323 and
8703.3223"
4009.3130,- - - For other motor cars and vehicles,- - - For other motor cars and vehicles
4009.3190,- - - Other,- - - Other
4009.3200,- - With fittings,- - With fittings
4009.4110,"- - - Following components for vehicles of
chapter 87:- (1) Air cleaner hoses
and water cooling system hoses (except turbo
system hoses) for vehicles of sub - heading
8701.2020, 8701.2090, and 8701.2040","- - - Following components for vehicles of
chapter 87:- (1) Air cleaner hoses
and water cooling system hoses (except turbo
system hoses) for vehicles of sub - heading
8701.2020, 8701.2090, and 8701.2040"
4009.4120,"- - - Following components for vehicles of
chapter 87:-
(1) Water hoses of a kind used for engine cooling
system / heater for motor cars of heading 87.03
and vehicles of sub- heading 8703.2323 and
8703.3223","- - - Following components for vehicles of
chapter 87:-
(1) Water hoses of a kind used for engine cooling
system / heater for motor cars of heading 87.03
and vehicles of sub- heading 8703.2323 and
8703.3223"
